id,title,role_bucket,seniority,is_remote_label,skills,salary_mid,state,posted_month,skill,skill_clean
5671541608,Data Analyst,Data Analyst,Mid,On-site,power bi|r,56504.24,Missouri,2026-03,power bi,Power BI
5671487702,Epic Business Intelligence Data Engineer â€“ Cogito Reporting,Data Engineer,Mid,On-site,sql|r,114272.4,Texas,2026-03,sql,SQL
5671474408,Enterprise Data Governance Analyst II,Data Analyst,Mid,On-site,excel|r,123253.82,Texas,2026-03,excel,Excel
5671380670,Sr. Category Insights Analyst (Power BI),BI Analyst,Senior,On-site,power bi|r,133376.6,Texas,2026-03,power bi,Power BI
5671303340,Business Analyst with Power BI,BI Analyst,Mid,On-site,power bi|r,95038.3,Texas,2026-03,power bi,Power BI
5678922133,Financial Analyst / Manager (Korean bilingual),BI Analyst,Mid,On-site,,63808.55,New Jersey,2026-03,,
5678891526,ESY ABA Behavior Technician (Behavior Therapist)-Preschool,Other,Mid,On-site,r|aws,37954.66,Massachusetts,2026-03,aws,AWS
5678858032,Reporting Analyst I,Data Analyst,Mid,On-site,,76435.14,Colorado,2026-03,,
5678850032,Design Methodology Writing Skills Developing Developer,Other,Mid,On-site,excel|r,81185.51,Wisconsin,2026-03,excel,Excel
5678847080,"Data Engineer, AWS Marketing D:SE",Data Engineer,Mid,On-site,r|aws,130832.66,Washington,2026-03,aws,AWS
5678796111,Data Analyst (Reporting & Visualization – Contract),Data Analyst,Mid,On-site,sql|power bi|tableau|r,61031.54,Massachusetts,2026-03,sql,SQL
5678796111,Data Analyst (Reporting & Visualization – Contract),Data Analyst,Mid,On-site,sql|power bi|tableau|r,61031.54,Massachusetts,2026-03,power bi,Power BI
5678796111,Data Analyst (Reporting & Visualization – Contract),Data Analyst,Mid,On-site,sql|power bi|tableau|r,61031.54,Massachusetts,2026-03,tableau,Tableau
5678775692,"Senior Systems Analyst, Oracle HCM (Full Time, Day)",Data Analyst,Senior,On-site,,132790.11,California,2026-03,,
5678753021,Business Systems Analyst Team Lead,Data Analyst,Senior,On-site,,126434.23,Missouri,2026-03,,
5678714209,Data Analyst,Data Analyst,Mid,On-site,power bi|excel|r,119347.26,Georgia,2026-03,power bi,Power BI
5678714209,Data Analyst,Data Analyst,Mid,On-site,power bi|excel|r,119347.26,Georgia,2026-03,excel,Excel
5678702059,Financial Analyst,Data Analyst,Mid,Remote,excel|r,66309.66,Unknown,2026-03,excel,Excel
5678674781,"Senior Analyst, Financial Controls & Reporting",Data Analyst,Senior,On-site,,88629.71,Texas,2026-03,,
5678674213,Financial & Data Analyst,Data Analyst,Mid,On-site,,74359.89,Tennessee,2026-03,,
5678668362,Reporting Specialist,BI Analyst,Mid,On-site,excel|r,67460.91,Washington,2026-03,excel,Excel
5678564761,Reporting Analyst,Data Analyst,Mid,On-site,,55758.4,Texas,2026-03,,
5678527991,Revenue Cycle Analyst,Data Analyst,Mid,On-site,excel|r,59167.05,Texas,2026-03,excel,Excel
5678080696,Marketing Analyst,Data Analyst,Mid,On-site,,78835.13,Tennessee,2026-03,,
